waypoint_id,latitude,longitude,heading,speed,waypoint_type
1,40.76071360426586,-111.88878798965085,315.0,2.0,coverage
2,40.760648941687286,-111.88870120867365,315.0,2.0,coverage
3,40.76058427904099,-111.88861442786462,315.0,2.0,coverage
4,40.76051961632696,-111.88852764722377,315.0,2.0,coverage
5,40.76045495354519,-111.88844086675108,315.0,2.0,coverage
6,40.7603902906957,-111.88835408644658,315.0,2.0,coverage
7,40.760325627778485,-111.88826730631021,315.0,2.0,coverage
8,40.760260964793545,-111.88818052634204,315.0,2.0,coverage
9,40.76019630174086,-111.88809374654201,315.0,2.0,coverage
10,40.76013163862048,-111.88800696691017,315.0,2.0,coverage
11,40.760066975432345,-111.88792018744647,315.0,2.0,coverage
12,40.76000231217649,-111.88783340815094,315.0,2.0,coverage
13,40.75993764885292,-111.88774662902358,315.0,2.0,coverage
14,40.75987298546162,-111.88765985006438,315.0,2.0,coverage
15,40.75941667276099,-111.88761110428105,135.0,2.0,coverage
16,40.75948202757803,-111.88769881042175,135.0,2.0,coverage
17,40.75954738232589,-111.88778651673425,135.0,2.0,coverage
18,40.759612737004566,-111.8878742232185,135.0,2.0,coverage
19,40.75967809161407,-111.88796192987454,135.0,2.0,coverage
20,40.759743446154395,-111.88804963670235,135.0,2.0,coverage
21,40.75980880062552,-111.88813734370193,135.0,2.0,coverage
22,40.75987415502748,-111.8882250508733,135.0,2.0,coverage
23,40.75993950936024,-111.88831275821646,135.0,2.0,coverage
24,40.76000486362385,-111.88840046573137,135.0,2.0,coverage
25,40.76007021781823,-111.88848817341807,135.0,2.0,coverage
26,40.760135571943465,-111.88857588127655,135.0,2.0,coverage
27,40.760200925999506,-111.88866358930682,135.0,2.0,coverage
28,40.76026627998635,-111.88875129750885,135.0,2.0,coverage
29,40.760331633904016,-111.88883900588267,135.0,2.0,coverage
30,40.76039698775251,-111.88892671442827,135.0,2.0,coverage
31,40.7604623415318,-111.88901442314565,135.0,2.0,coverage
32,40.7605276952419,-111.88910213203482,135.0,2.0,coverage
33,40.76059304888283,-111.88918984109577,135.0,2.0,coverage
34,40.76043745840319,-111.88954467305439,315.0,2.0,coverage
35,40.76037264533733,-111.88945768898816,315.0,2.0,coverage
36,40.76030783220341,-111.88937070509088,315.0,2.0,coverage
37,40.760243019001436,-111.88928372136255,315.0,2.0,coverage
38,40.76017820573143,-111.88919673780318,315.0,2.0,coverage
39,40.76011339239337,-111.88910975441276,315.0,2.0,coverage
40,40.76004857898725,-111.88902277119128,315.0,2.0,coverage
41,40.759983765513105,-111.88893578813877,315.0,2.0,coverage
42,40.7599189519709,-111.8888488052552,315.0,2.0,coverage
43,40.759854138360666,-111.88876182254057,315.0,2.0,coverage
44,40.759789324682366,-111.88867483999489,315.0,2.0,coverage
45,40.75972451093602,-111.88858785761818,315.0,2.0,coverage
46,40.75965969712165,-111.8885008754104,315.0,2.0,coverage
47,40.75959488323923,-111.88841389337156,315.0,2.0,coverage
48,40.759530069288765,-111.8883269115017,315.0,2.0,coverage
49,40.75946525527025,-111.88823992980075,315.0,2.0,coverage
50,40.7594004411837,-111.88815294826875,315.0,2.0,coverage
51,40.75933562702911,-111.8880659669057,315.0,2.0,coverage
52,40.75927081280647,-111.88797898571161,315.0,2.0,coverage
53,40.7592059985158,-111.88789200468645,315.0,2.0,coverage
54,40.758995323597645,-111.88817290331761,135.0,2.0,coverage
55,40.75906021512093,-111.88825998826142,135.0,2.0,coverage
56,40.759125106576015,-111.88834707337458,135.0,2.0,coverage
57,40.7591899979629,-111.88843415865708,135.0,2.0,coverage
58,40.75925488928157,-111.88852124410893,135.0,2.0,coverage
59,40.75931978053204,-111.88860832973012,135.0,2.0,coverage
60,40.7593846717143,-111.88869541552066,135.0,2.0,coverage
61,40.75944956282836,-111.88878250148055,135.0,2.0,coverage
62,40.75951445387421,-111.88886958760979,135.0,2.0,coverage
63,40.75957934485185,-111.88895667390837,135.0,2.0,coverage
64,40.75964423576128,-111.88904376037632,135.0,2.0,coverage
65,40.759709126602516,-111.88913084701362,135.0,2.0,coverage
66,40.75977401737553,-111.88921793382025,135.0,2.0,coverage
67,40.75983890808034,-111.88930502079624,135.0,2.0,coverage
68,40.75990379871693,-111.88939210794159,135.0,2.0,coverage
69,40.75996868928532,-111.88947919525629,135.0,2.0,coverage
70,40.76003357978551,-111.88956628274035,135.0,2.0,coverage
71,40.76009847021747,-111.88965337039375,135.0,2.0,coverage
72,40.76016336058123,-111.88974045821652,135.0,2.0,coverage
73,40.75988926243093,-111.8899362417843,315.0,2.0,coverage
74,40.75982599868289,-111.88985133698422,315.0,2.0,coverage
75,40.75976273487002,-111.88976643234511,315.0,2.0,coverage
76,40.75969947099231,-111.88968152786698,315.0,2.0,coverage
77,40.75963620704978,-111.88959662354982,315.0,2.0,coverage
78,40.75957294304239,-111.88951171939364,315.0,2.0,coverage
79,40.75950967897019,-111.88942681539841,315.0,2.0,coverage
80,40.75944641483314,-111.88934191156413,315.0,2.0,coverage
81,40.75938315063129,-111.88925700789085,315.0,2.0,coverage
82,40.759319886364565,-111.88917210437852,315.0,2.0,coverage
83,40.75925662203304,-111.88908720102715,315.0,2.0,coverage
84,40.75919335763666,-111.88900229783674,315.0,2.0,coverage
85,40.75913009317546,-111.88891739480731,315.0,2.0,coverage
86,40.759066828649445,-111.88883249193883,315.0,2.0,coverage
87,40.75900356405859,-111.88874758923133,315.0,2.0,coverage
88,40.758940299402894,-111.88866268668478,315.0,2.0,coverage
